,genres,artist_img,song_uri,song_pop,artist_pop,exact_song_match,search_dict,artist_uri,preview_url,duration_ms,acousticness,energy,instrumentalness,key,converted_keys,liveness,loudness,tempo,valence,danceability,ARTIST,THEME,SPOTIFY_URL,TITLE,YEAR
0,,,,,,False,"{'acousticness': None, 'genres': None, 'artist_img': None, 'song_uri': None, 'exact_song_match': False, 'song_name': None, 'liveness': None, 'tempo': None, 'preview_url': None, 'artist_uri': None, 'song_pop': None, 'artist_pop': None, 'instrumentalness': None, 'key': None, 'duration_ms': None, 'loudness': None, 'valence': None, 'energy': None, 'danceability': None}",,,,,,,,,,,,,,!!!,Politics and protest,,Me and Giuliani Down By the Schoolyard (A True Story),2003
1,[],https://i.scdn.co/image/4b9a3fc879365e01f04a93a35bfd6e11728149b8,spotify:track:5QTxFnGygVM4jFQiBovmRo,67.0,61.0,True,"{'acousticness': 0.0029, 'genres': [], 'artist_img': u'https://i.scdn.co/image/4b9a3fc879365e01f04a93a35bfd6e11728149b8', 'song_uri': u'spotify:track:5QTxFnGygVM4jFQiBovmRo', 'exact_song_match': True, 'song_name': u""(Don't Fear) The Reaper"", 'liveness': 0.297, 'tempo': 141.47, 'preview_url': u'https://p.scdn.co/mp3-preview/596db216a6621b8c0e2f87fb343f33a9c0bd8878', 'artist_name': u'Blue \xd6yster Cult', 'artist_uri': u'spotify:artist:00tVTdpEhQQw1bqdu8RCx2', 'song_pop': 67, 'artist_pop': 61, 'instrumentalness': 0.000211, 'key': 9, 'duration_ms': 308120, 'loudness': -8.55, 'valence': 0.392, 'energy': 0.927, 'danceability': 0.333}",spotify:artist:00tVTdpEhQQw1bqdu8RCx2,https://p.scdn.co/mp3-preview/596db216a6621b8c0e2f87fb343f33a9c0bd8878,308120.0,0.0029,0.927,0.000211,9.0,A,0.297,-8.55,141.47,0.392,0.333,Blue Oyster Cult,Life and death,http://open.spotify.com/track/2NL4BBBSgypHnxUKmQdYcT,(Don't Fear) The Reaper,1976
2,[],https://i.scdn.co/image/dfc299ce76a3c0fd55c3dab93bef8824a42c9663,spotify:track:0da5PE14WvS25IEKzX32ZJ,24.0,39.0,False,"{'acousticness': 0.0113, 'genres': [], 'artist_img': u'https://i.scdn.co/image/dfc299ce76a3c0fd55c3dab93bef8824a42c9663', 'song_uri': u'spotify:track:0da5PE14WvS25IEKzX32ZJ', 'exact_song_match': False, 'song_name': u'Pacific 202', 'liveness': 0.15, 'tempo': 128.267, 'preview_url': u'https://p.scdn.co/mp3-preview/750b3f8cd4f745e194a1d51189c84b78857b6af2', 'artist_name': u'808 State', 'artist_uri': u'spotify:artist:7hFdUW64G4iU1tz46ITRfN', 'song_pop': 24, 'artist_pop': 39, 'instrumentalness': 0.0301, 'key': 1, 'duration_ms': 338440, 'loudness': -13.224, 'valence': 0.544, 'energy': 0.757, 'danceability': 0.543}",spotify:artist:7hFdUW64G4iU1tz46ITRfN,https://p.scdn.co/mp3-preview/750b3f8cd4f745e194a1d51189c84b78857b6af2,338440.0,0.0113,0.757,0.0301,1.0,C#,0.15,-13.224,128.267,0.544,0.543,808 State,Party songs,,Pacific State,1989
3,[],,,,0.0,False,"{'acousticness': None, 'genres': [], 'artist_img': None, 'song_uri': None, 'exact_song_match': False, 'song_name': None, 'liveness': None, 'tempo': None, 'preview_url': None, 'artist_uri': None, 'song_pop': None, 'artist_pop': 0, 'instrumentalness': None, 'key': None, 'duration_ms': None, 'loudness': None, 'valence': None, 'energy': None, 'danceability': None}",,,,,,,,,,,,,,A R Rahman,Love,,Kehma Hi Kya,1995
4,[],https://i.scdn.co/image/754dd8a360e4ed08f1e0917a81145245aa2c2769,spotify:track:4YpdQdXRBEC1wkoIHTwJTJ,24.0,15.0,False,"{'acousticness': 0.173, 'genres': [], 'artist_img': u'https://i.scdn.co/image/754dd8a360e4ed08f1e0917a81145245aa2c2769', 'song_uri': u'spotify:track:4YpdQdXRBEC1wkoIHTwJTJ', 'exact_song_match': False, 'song_name': u'Try Again - Aaliyah Remix', 'liveness': 0.0374, 'tempo': 95.484, 'preview_url': u'https://p.scdn.co/mp3-preview/c42e159aacd53ce5e5823a3e039c9fe6b557ccf4', 'artist_name': u'Fauley', 'artist_uri': u'spotify:artist:5I03k04hYVxZ9Im4jAdnLU', 'song_pop': 24, 'artist_pop': 15, 'instrumentalness': 0.0545, 'key': 0, 'duration_ms': 254749, 'loudness': -8.559, 'valence': 0.926, 'energy': 0.333, 'danceability': 0.852}",spotify:artist:5I03k04hYVxZ9Im4jAdnLU,https://p.scdn.co/mp3-preview/c42e159aacd53ce5e5823a3e039c9fe6b557ccf4,254749.0,0.173,0.333,0.0545,0.0,C,0.0374,-8.559,95.484,0.926,0.852,Aaliyah,Sex,http://open.spotify.com/track/2CM7CAL7aJ5WkPU0oGbA96,Try Again,2000
5,[],https://i.scdn.co/image/94481d82ae2a28ca122c15f8802aea77991d9f35,spotify:track:2HeTmGTjl870ucJ8mF7zl5,47.0,71.0,True,"{'acousticness': 0.586, 'genres': [], 'artist_img': u'https://i.scdn.co/image/94481d82ae2a28ca122c15f8802aea77991d9f35', 'song_uri': u'spotify:track:2HeTmGTjl870ucJ8mF7zl5', 'exact_song_match': True, 'song_name': u'The Winner Takes It All', 'liveness': 0.0655, 'tempo': 126.89, 'preview_url': u'https://p.scdn.co/mp3-preview/d0f8db7c56e728d274628035b1fb0a3424cbd3a2', 'artist_name': u'ABBA', 'artist_uri': u'spotify:artist:0LcJLqbBmaGUft1e9Mm8HV', 'song_pop': 47, 'artist_pop': 71, 'instrumentalness': 0.00111, 'key': 6, 'duration_ms': 294733, 'loudness': -6.676, 'valence': 0.545, 'energy': 0.781, 'danceability': 0.458}",spotify:artist:0LcJLqbBmaGUft1e9Mm8HV,https://p.scdn.co/mp3-preview/d0f8db7c56e728d274628035b1fb0a3424cbd3a2,294733.0,0.586,0.781,0.00111,6.0,F#,0.0655,-6.676,126.89,0.545,0.458,Abba,Heartbreak,http://open.spotify.com/track/1g1RLXmuXu7HpMA6gmiYve,The Winner Takes It All,1980
6,[],https://i.scdn.co/image/94481d82ae2a28ca122c15f8802aea77991d9f35,spotify:track:2PzCOP5Aj9SABiBgNEZ52G,46.0,71.0,True,"{'acousticness': 0.0225, 'genres': [], 'artist_img': u'https://i.scdn.co/image/94481d82ae2a28ca122c15f8802aea77991d9f35', 'song_uri': u'spotify:track:2PzCOP5Aj9SABiBgNEZ52G', 'exact_song_match': True, 'song_name': u'Gimme! Gimme! Gimme! (A Man After Midnight)', 'liveness': 0.261, 'tempo': 119.518, 'preview_url': u'https://p.scdn.co/mp3-preview/70deb32ebdd1192f442bf7c05cb2b6e61fcee17f', 'artist_name': u'ABBA', 'artist_uri': u'spotify:artist:0LcJLqbBmaGUft1e9Mm8HV', 'song_pop': 46, 'artist_pop': 71, 'instrumentalness': 0.0115, 'key': 10, 'duration_ms': 292571, 'loudness': -9.614, 'valence': 0.51, 'energy': 0.486, 'danceability': 0.753}",spotify:artist:0LcJLqbBmaGUft1e9Mm8HV,https://p.scdn.co/mp3-preview/70deb32ebdd1192f442bf7c05cb2b6e61fcee17f,292571.0,0.0225,0.486,0.0115,10.0,A#,0.261,-9.614,119.518,0.51,0.753,Abba,Sex,http://open.spotify.com/track/2TjNlK2tNBxF8C8RIaK9Gb,Gimme! Gimme! Gimme! (A Man After Midnight),1979
7,[],https://i.scdn.co/image/94481d82ae2a28ca122c15f8802aea77991d9f35,spotify:track:4NtUY5IGzHCaqfZemmAu56,60.0,71.0,True,"{'acousticness': 0.42, 'genres': [], 'artist_img': u'https://i.scdn.co/image/94481d82ae2a28ca122c15f8802aea77991d9f35', 'song_uri': u'spotify:track:4NtUY5IGzHCaqfZemmAu56', 'exact_song_match': True, 'song_name': u'Dancing Queen', 'liveness': 0.775, 'tempo': 100.819, 'preview_url': u'https://p.scdn.co/mp3-preview/07dbfe8eb7729d99a182b26fa1ec2f3467ba86f5', 'artist_name': u'ABBA', 'artist_uri': u'spotify:artist:0LcJLqbBmaGUft1e9Mm8HV', 'song_pop': 60, 'artist_pop': 71, 'instrumentalness': 0.00188, 'key': 9, 'duration_ms': 230693, 'loudness': -6.397, 'valence': 0.772, 'energy': 0.879, 'danceability': 0.546}",spotify:artist:0LcJLqbBmaGUft1e9Mm8HV,https://p.scdn.co/mp3-preview/07dbfe8eb7729d99a182b26fa1ec2f3467ba86f5,230693.0,0.42,0.879,0.00188,9.0,A,0.775,-6.397,100.819,0.772,0.546,Abba,Party songs,http://open.spotify.com/track/2rgqPSIRAfaO2MGo9smdSX,Dancing Queen,1976
8,[],https://i.scdn.co/image/a171d1f68d74b323e0bfd32f7bab6bb52ccf0e79,spotify:track:0JdH2hTeU4zrC7zwiAJ6ck,39.0,50.0,True,"{'acousticness': 0.0472, 'genres': [], 'artist_img': u'https://i.scdn.co/image/a171d1f68d74b323e0bfd32f7bab6bb52ccf0e79', 'song_uri': u'spotify:track:0JdH2hTeU4zrC7zwiAJ6ck', 'exact_song_match': True, 'song_name': u'The Look Of Love', 'liveness': 0.297, 'tempo': 120.98, 'preview_url': u'https://p.scdn.co/mp3-preview/9298e1c3a2909f5eb9671f7dca05f58c7023123d', 'artist_name': u'ABC', 'artist_uri': u'spotify:artist:2s79xe5F6eUQkjwjww27Fh', 'song_pop': 39, 'artist_pop': 50, 'instrumentalness': 0.000267, 'key': 9, 'duration_ms': 210706, 'loudness': -5.402, 'valence': 0.844, 'energy': 0.844, 'danceability': 0.736}",spotify:artist:2s79xe5F6eUQkjwjww27Fh,https://p.scdn.co/mp3-preview/9298e1c3a2909f5eb9671f7dca05f58c7023123d,210706.0,0.0472,0.844,0.000267,9.0,A,0.297,-5.402,120.98,0.844,0.736,ABC,Love,http://open.spotify.com/track/78j3qTBdzcIiT3eS7XymoD,The Look of Love,1982
9,[],https://i.scdn.co/image/a171d1f68d74b323e0bfd32f7bab6bb52ccf0e79,spotify:track:59YzEP5OZrOeKue3rdcmqO,11.0,50.0,True,"{'acousticness': 0.418, 'genres': [], 'artist_img': u'https://i.scdn.co/image/a171d1f68d74b323e0bfd32f7bab6bb52ccf0e79', 'song_uri': u'spotify:track:59YzEP5OZrOeKue3rdcmqO', 'exact_song_match': True, 'song_name': u'Tears Are Not Enough', 'liveness': 0.232, 'tempo': 118.368, 'preview_url': u'https://p.scdn.co/mp3-preview/deed2910b3180cdfe53e7239c72e52f0a4ca67aa', 'artist_name': u'ABC', 'artist_uri': u'spotify:artist:2s79xe5F6eUQkjwjww27Fh', 'song_pop': 11, 'artist_pop': 50, 'instrumentalness': 0.000509, 'key': 2, 'duration_ms': 210733, 'loudness': -7.417, 'valence': 0.901, 'energy': 0.915, 'danceability': 0.685}",spotify:artist:2s79xe5F6eUQkjwjww27Fh,https://p.scdn.co/mp3-preview/deed2910b3180cdfe53e7239c72e52f0a4ca67aa,210733.0,0.418,0.915,0.000509,2.0,D,0.232,-7.417,118.368,0.901,0.685,ABC,Heartbreak,http://open.spotify.com/track/1DsmvwImEiDU0tLMOvOJZD,Tears Are Not Enough,1981
