Year,Annual_Unemployment,Annual_Unemployment_Normalized
1948,3.8,-1.3
1949,6.1,0.1
1950,5.2,-0.4
1951,3.3,-1.6
1952,3.0,-1.7
1953,2.9,-1.8
1954,5.6,-0.1
1955,4.4,-0.9
1956,4.1,-1.0
1957,4.3,-0.9
1958,6.8,0.6
1959,5.5,-0.2
1960,5.5,-0.2
1961,6.7,0.5
1962,5.6,-0.2
1963,5.6,-0.1
1964,5.2,-0.4
1965,4.5,-0.8
1966,3.8,-1.3
1967,3.8,-1.2
1968,3.6,-1.4
1969,3.5,-1.4
1970,5.0,-0.5
1971,6.0,0.1
1972,5.6,-0.1
1973,4.9,-0.6
1974,5.6,-0.1
1975,8.5,1.7
1976,7.7,1.2
1977,7.1,0.8
1978,6.1,0.2
1979,5.9,0.0
1980,7.2,0.8
1981,7.6,1.1
1982,9.7,2.4
1983,9.6,2.4
1984,7.5,1.1
1985,7.2,0.9
1986,7.0,0.7
1987,6.2,0.2
1988,5.5,-0.2
1989,5.3,-0.3
1990,5.6,-0.1
1991,6.9,0.6
1992,7.5,1.0
1993,6.9,0.7
1994,6.1,0.2
1995,5.6,-0.1
1996,5.4,-0.3
1997,4.9,-0.5
1998,4.5,-0.8
1999,4.2,-1.0
2000,4.0,-1.1
2001,4.7,-0.7
2002,5.8,0.0
2003,6.0,0.1
2004,5.5,-0.2
2005,5.1,-0.5
2006,4.6,-0.7
2007,4.6,-0.7
2008,5.8,0.0
2009,9.3,2.2
2010,9.6,2.4
2011,8.9,1.9
2012,8.1,1.4
2013,7.4,1.0
2014,6.2,0.2
2015,5.3,-0.3
2016,4.9,-0.6
