,artist,master_genre
0,Mark Ronson,Pop music
1,Ed Sheeran,Pop music
2,Wiz Khalifa,Hip hop
3,Fetty Wap,Rock music
4,Maroon 5,Pop music
5,Walk The Moon,Pop music
6,Taylor Swift,Pop music
7,Weeknd,Pop music
8,OMI,Pop music
9,Ellie Goulding,Pop music
10,Hozier,Blues music
11,Major Lazer and DJ Snake,Fusion music
12,Jason Derulo,Pop music
13,Skrillex and Diplo With Justin Bieber,Blues music
14,Rachel Platten,Pop music
15,Meghan Trainor,Pop music
16,Fifth Harmony,Pop music
17,Omarion,Pop music
18,Andy Grammer,Pop music
19,Sam Smith,Pop music
20,Selena Gomez,Pop music
21,Drake,Pop music
22,David Guetta,Pop music
23,Flo Rida,Pop music
24,Justin Bieber,Pop music
25,Adele,Pop music
26,Shawn Mendes,Pop music
27,Tove Lo,Pop music
28,Nick Jonas,Pop music
29,R. City,Pop music
30,Natalie La Rose,Pop music
31,Fall Out Boy,Pop music
32,Sam Hunt,Country music
33,Big Sean,Hip hop
34,Rihanna,Pop music
35,Rich Homie Quan,Hip hop
36,T-Wayne,Hip hop
37,Nicki Minaj,Pop music
38,Sia,Pop music
39,Demi Lovato,Pop music
40,X Ambassadors,Pop music
41,Usher,Pop music
42,Beyonce,Pop music
43,Little Big Town,Country music
44,Trey Songz,Pop music
45,One Direction,Pop music
46,Ariana Grande,Pop music
47,Meek Mill,Hip hop
48,Rae Sremmurd,Hip hop
49,Vance Joy,Alternative rock
50,Jidenna,Hip hop
51,Elle King,Pop music
52,Charlie Puth,Pop music
53,James Newton Howard,
54,O.T. Genasis,Hip hop
55,"Jessie J, Ariana Grande and Nicki Minaj",Pop music
56,iLoveMakonnen,Hip hop
57,iLoveMemphis,Rock music
58,Macklemore and Ryan Lewis,Pop music
59,Luke Bryan,Country music
60,George Ezra,Pop music
61,Kelly Clarkson,Pop music
62,Ella Henderson,Pop music
63,Alessia Cara,Pop music
64,Mr. Probz,Pop music
65,Nicky Jam and Enrique Iglesias,Rock music
66,Ne-Yo,Pop music
67,Pharrell Williams,Pop music
68,Katy Perry,Pop music
69,John Legend,Pop music
70,Iggy Azalea,Pop music
71,OneRepublic,Pop music
72,MAGIC!,Pop music
73,Pitbull,Pop music
74,Bastille,Pop music
75,Nico and Vinz,Pop music
76,Eminem,Hip hop
77,Lorde,Pop music
78,Passenger,Alternative rock
79,Idina Menzel,Pop music
80,Avicii,House music
81,Imagine Dragons,Alternative rock
82,"Jessie J, Ariana Grande & Nicki Minaj",Pop music
83,Disclosure,Alternative rock
84,Chris Brown,Pop music
85,American Authors,Alternative rock
86,Calvin Harris,Pop music
87,Charli XCX,Pop music
88,Enrique Iglesias,Pop music
89,Clean Bandit,Pop music
90,Jeremih,Pop music
91,Kid Ink,Hip hop
92,Miley Cyrus,Pop music
93,Justin Timberlake,Pop music
94,Paramore,Pop music
95,Aloe Blacc,Jazz
96,Florida Georgia Line,Country music
97,Mkto,Pop music
98,Coldplay,Pop music
99,Bobby Shmurda,Hip hop
100,Yg,Hip hop
101,Echosmith,Pop music
102,Jason Aldean,Country music
103,Tinashe,Pop music
104,Brantley Gilbert,Country music
105,Becky G,Pop music
106,Rixton,Pop music
107,Martin Garrix,Jazz
108,Rich Gang,Hip hop
109,Kenny Chesney,Country music
110,Sara Bareilles,Pop music
111,The Neighbourhood,Pop music
112,Michael Jackson and Justin Timberlake,Pop music
113,Dierks Bentley,Country music
114,Lady Antebellum,Country music
115,Naughty Boy,Pop music
116,Robin Thicke,Pop music
117,Lady Gaga,Pop music
118,Shakira,Pop music
119,5 Seconds Of Summer,Pop music
120,T.I.,Hip hop
121,Lil Wayne,Pop music
122,Mike Will Made-It,Hip hop
123,Jake Owen,Country music
124,Macklemore & Ryan Lewis,Pop music
125,Zedd,House music
126,Schoolboy Q,Hip hop
127,Lee Brice,Country music
128,Baauer,Fusion music
129,P!nk,Pop music
130,Daft Punk,House music
131,will.i.am & Britney Spears,Pop music
132,Bruno Mars,Pop music
133,Jay Z,Hip hop
134,Anna Kendrick,Pop music
135,Ylvis,
136,Icona Pop,Pop music
137,Capital Cities,Pop music
138,PSY,Pop music
139,Blake Shelton,Country music
140,2 Chainz & Wiz Khalifa,Hip hop
141,will.i.am,Pop music
142,Mariah Carey,Pop music
143,Darius Rucker,Country music
144,fun.,Pop music
145,Miranda Lambert,Country music
146,J. Cole,Hip hop
147,Rocko,Hip hop
148,Tim McGraw With Taylor Swift,Country music
149,Hunter Hayes,Country music
150,YG,Hip hop
151,Olly Murs,Pop music
152,Phillip Phillips,Pop music
153,Thomas Rhett,Country music
154,Emeli Sande,Pop music
155,Ke$ha,Pop music
156,Wale,Hip hop
157,Ciara,Pop music
158,Randy Houser,Country music
159,Avril Lavigne,Pop music
160,Brett Eldredge,Country music
161,Sage The Gemini,Hip hop
162,Kendrick Lamar,Hip hop
163,Ace Hood,Hip hop
164,Tyler Farr,Country music
165,Krewella,House music
166,Mike WiLL Made-It,Hip hop
167,Gotye,Rock music
168,Carly Rae Jepsen,Pop music
169,The Wanted,Pop music
170,LMFAO,Pop music
171,Train,Pop music
172,Neon Trees,Pop music
173,Jason Mraz,Pop music
174,"Kanye West, Big Sean, Pusha T, 2 Chainz",Pop music
175,Alex Clare,Pop music
176,Snoop Dogg and Wiz Khalifa,Hip hop
177,Owl City and Carly Rae Jepsen,Heavy metal
178,Jay Z and Kanye West,
179,Tyga,Hip hop
180,Jessie J,Pop music
181,Gym Class Heroes,Pop music
182,2 Chainz,Hip hop
183,Cher Lloyd,Pop music
184,Eric Church,Country music
185,Karmin,Pop music
186,Gavin DeGraw,Pop music
187,Carrie Underwood,Country music
188,The Lumineers,Alternative rock
189,Kirko Bangz,Hip hop
190,B.o.B,Hip hop
191,Toby Keith,Country music
192,Selena Gomez and The Scene,Pop music
193,T-Pain,Hip hop
194,Christina Perri,Pop music
195,Havana Brown,Pop music
196,Ca$h Out,Hip hop
197,Kip Moore,Country music
198,Miguel,Pop music
199,Eli Young Band,Country music
200,Linkin Park,Heavy metal
201,The Black Eyed Peas,Pop music
202,Jennifer Lopez,Pop music
203,Foster The People,Pop music
204,P!Nk,Pop music
205,Britney Spears,Pop music
206,Lupe Fiasco,Hip hop
207,Ke$Ha,Pop music
208,Hot Chelle Rae,Pop music
209,Bad Meets Evil,Hip hop
210,The Band Perry,Country music
211,Diddy – Dirty Money,Pop music
212,Taio Cruz,Pop music
213,Waka Flocka Flame,Hip hop
214,DJ Khaled,Hip hop
215,Cobra Starship,Pop music
216,Dr. Dre,Hip hop
217,Nelly,Hip hop
218,Kelly Rowland,Pop music
219,Edward Maya & Vika Jigulina,House music
220,Far*East Movement,Pop music
221,Kanye West,Pop music
222,Tinie Tempah,Pop music
223,The Script,Pop music
224,Keri Hilson,Pop music
225,Selena Gomez & The Scene,Pop music
226,Zac Brown Band,Country music
227,Brad Paisley With Carrie Underwood,Country music
228,Dev,Pop music
229,New Boyz,Pop music
230,Rodney Atkins,Country music
231,Mike Posner,Pop music
232,Thompson Square,Country music
233,Young Money,Hip hop
