,ARTIST,Rank,TITLE,Year,ARTIST_Full
0,Mark Ronson,1,Uptown Funk!,2015.0,Mark Ronson feat. Bruno Mars
1,Ed Sheeran,2,Thinking Out Loud,2015.0,Ed Sheeran
2,Wiz Khalifa,3,See You Again,2015.0,Wiz Khalifa feat. Charlie Puth
3,Fetty Wap,4,Trap Queen,2015.0,Fetty Wap
4,Maroon 5,5,Sugar,2015.0,Maroon 5
5,Walk The Moon,6,Shut Up and Dance,2015.0,Walk The Moon
6,Taylor Swift,7,Blank Space,2015.0,Taylor Swift
7,Silento,8,Watch Me,2015.0,Silento
8,Weeknd,9,Earned It (Fifty Shades Of Grey),2015.0,Weeknd
9,Weeknd,10,The Hills,2015.0,Weeknd
10,OMI,11,Cheerleader (Felix Jaehn Remix),2015.0,OMI
11,Weeknd,12,Can’t Feel My Face,2015.0,Weeknd
12,Ellie Goulding,13,Love Me Like You Do,2015.0,Ellie Goulding
13,Hozier,14,Take Me To Church,2015.0,Hozier
14,Taylor Swift,15,Bad Blood,2015.0,Taylor Swift feat. Kendrick Lamar
15,Major Lazer and DJ Snake,16,Lean On,2015.0,Major Lazer and DJ Snake feat. M0
16,Jason Derulo,17,Want To Want Me,2015.0,Jason Derulo
17,Taylor Swift,18,Shake It Off,2015.0,Taylor Swift
18,Skrillex and Diplo With Justin Bieber,19,Where Are U Now,2015.0,Skrillex and Diplo With Justin Bieber
19,Rachel Platten,20,Fight Song,2015.0,Rachel Platten
20,Fetty Wap,21,679,2015.0,Fetty Wap feat. Remy Boyz
21,Meghan Trainor,22,Lips Are Movin,2015.0,Meghan Trainor
22,Fifth Harmony,23,Worth It,2015.0,Fifth Harmony feat. Kid Ink
23,Omarion,24,Post To Be,2015.0,Omarion feat. Chris Brown and Jhene Aiko
24,Andy Grammer,25,"Honey, I’m Good.",2015.0,Andy Grammer
25,Sam Smith,26,I’m Not The OnlyOne,2015.0,Sam Smith
26,Selena Gomez,27,Good For You,2015.0,Selena Gomez feat. A$AP Rocky
27,Meghan Trainor,28,All About That Bass,2015.0,Meghan Trainor
28,Taylor Swift,29,Style,2015.0,Taylor Swift
29,Drake,30,Hotline Bling,2015.0,Drake
30,David Guetta,31,Hey Mama,2015.0,"David Guetta feat. Nicki Minaj, Bebe Rexha and Afrojack"
31,Flo Rida,32,G.D.F.R.,2015.0,Flo Rida feat. Sage The Gemini and Lookas
32,Justin Bieber,33,What Do You Mean?,2015.0,Justin Bieber
33,Ed Sheeran,34,Photograph,2015.0,Ed Sheeran
34,Adele,35,Hello,2015.0,Adele
35,Shawn Mendes,36,Stitches,2015.0,Shawn Mendes
36,Tove Lo,37,Talking Body,2015.0,Tove Lo
37,Nick Jonas,38,Jealous,2015.0,Nick Jonas
38,Pitbull and Ne-Yo,39,Time Of Our Lives,2015.0,Pitbull and Ne-Yo
39,R. City,40,Locked Away,2015.0,R. City feat. Adam Levine
40,Natalie La Rose,41,Somebody,2015.0,Natalie La Rose feat. Jeremih
41,"Rihanna, Kanye West, and Paul McCartney",42,FourFiveSeconds,2015.0,"Rihanna, Kanye West, and Paul McCartney"
42,Fall Out Boy,43,Centuries,2015.0,Fall Out Boy
43,Fetty Wap,44,My Way,2015.0,Fetty Wap feat. Monty
44,Sam Hunt,45,Take Your Time,2015.0,Sam Hunt
45,Maroon 5,46,Animals,2015.0,Maroon 5
46,Big Sean,47,I Don’t F**k With You,2015.0,Big Sean feat. E-40
47,Rihanna,48,B**** Better Have My Money,2015.0,Rihanna
48,Rich Homie Quan,49,Flex (Ooh Ooh Ooh),2015.0,Rich Homie Quan
49,T-Wayne,50,Nasty Freestyle,2015.0,T-Wayne
50,Nicki Minaj,51,Only,2015.0,"Nicki Minaj feat. Drake, Lil Wayne and Chris Brown"
51,Sia,52,Elastic Heart,2015.0,Sia
52,Demi Lovato,53,Cool For The Summer,2015.0,Demi Lovato
53,X Ambassadors,54,Renegades,2015.0,X Ambassadors
54,Usher,55,I Don’t Mind,2015.0,Usher feat. Juicy J
55,Ariana Grande and The Weeknd,56,Love Me Harder,2015.0,Ariana Grande and The Weeknd
56,Taylor Swift,57,Wildest Dreams,2015.0,Taylor Swift
57,Sam Smith,58,Stay With Me,2015.0,Sam Smith
58,DJ Snake and Alunageorge,59,You Know You Like It,2015.0,DJ Snake and Alunageorge
59,Fall Out Boy,60,Uma Thurman,2015.0,Fall Out Boy
60,Beyonce,61,7/11,2015.0,Beyonce
61,Selena Gomez,62,The Heart Wants What It Wants,2015.0,Selena Gomez
62,Little Big Town,63,Girl Crush,2015.0,Little Big Town
63,Trey Songz,64,Slow Motion,2015.0,Trey Songz
64,One Direction,65,Drag Me Down,2015.0,One Direction
65,Nicki Minaj,66,Truffle Butter,2015.0,Nicki Minaj feat. Drake and Lil Wayne
66,Ariana Grande,67,One Last Time,2015.0,Ariana Grande
67,Nick Jonas,68,Chains,2015.0,Nick Jonas
68,Meek Mill,69,All Eyes On You,2015.0,Meek Mill feat. Chris Brown and Nicki Minaj
69,Rae Sremmurd,70,No Type,2015.0,Rae Sremmurd
70,Vance Joy,71,Riptide,2015.0,Vance Joy
71,Jidenna,72,Classic Man,2015.0,Jidenna feat. Roman GianArthur
72,Elle King,73,Ex’s and Oh’s,2015.0,Elle King
73,Meghan Trainor,74,Dear Future Husband,2015.0,Meghan Trainor
74,Charlie Puth,75,Marvin Gaye,2015.0,Charlie Puth feat. Meghan Trainor
75,Meghan Trainor,76,Like I’m Gonna Lose You,2015.0,Meghan Trainor feat. John Legend
76,Tove Lo,77,Habits (Stay High),2015.0,Tove Lo
77,James Newton Howard,78,The Hanging Tree,2015.0,James Newton Howard feat. Jennifer Lawrence
78,O.T. Genasis,79,Coco,2015.0,O.T. Genasis
79,"Jessie J, Ariana Grande and Nicki Minaj",80,Bang Bang,2015.0,"Jessie J, Ariana Grande and Nicki Minaj"
80,Sam Smith,81,Lay Me Down,2015.0,Sam Smith
81,iLoveMakonnen,82,Tuesday,2015.0,iLoveMakonnen feat. Drake
82,iLoveMemphis,83,Hit The Quan,2015.0,iLoveMemphis
83,Macklemore and Ryan Lewis,84,Downtown,2015.0,"Macklemore and Ryan Lewis feat. Eric Nally, Melle Mel, Kool Moe Dee and Grandmaster Caz"
84,Sam Hunt,85,House Party,2015.0,Sam Hunt
85,Chris Brown and Tyga,86,Ayo,2015.0,Chris Brown and Tyga
86,Luke Bryan,87,Kick The Dust Up,2015.0,Luke Bryan
87,Big Sean,88,Blessings,2015.0,Big Sean feat. Drake
88,George Ezra,89,Budapest,2015.0,George Ezra
89,Sia,90,Chandelier,2015.0,Sia
90,Kelly Clarkson,91,Heartbeat Song,2015.0,Kelly Clarkson
91,Ed Sheeran,92,Don’t,2015.0,Ed Sheeran
92,Ella Henderson,93,Ghost,2015.0,Ella Henderson
93,Alessia Cara,94,Here,2015.0,Alessia Cara
94,Mr. Probz,95,Waves,2015.0,Mr. Probz
95,Nicky Jam and Enrique Iglesias,96,El Perdon (Forgiveness),2015.0,Nicky Jam and Enrique Iglesias
96,Ne-Yo,97,She Knows,2015.0,Ne-Yo feat. Juicy J
97,One Direction,98,Night Changes,2015.0,One Direction
98,Drake,99,Back To Back,2015.0,Drake
99,Pharrell Williams,1,Happy,2014.0,Pharrell Williams
100,Katy Perry,2,Dark Horse,2014.0,Katy Perry feat. Juicy J
101,John Legend,3,All Of Me,2014.0,John Legend
102,Iggy Azalea,4,Fancy,2014.0,Iggy Azalea feat. Charli XCX
103,OneRepublic,5,Counting Stars,2014.0,OneRepublic
