,artist,subgenre,genre,master_genre
0,Mark Ronson,dance pop,Pop music,Pop music
1,Mark Ronson,indie r&b,Alternative rock,Pop music
2,Mark Ronson,neo mellow,Alternative rock,Pop music
3,Mark Ronson,pop,Pop music,Pop music
4,Mark Ronson,pop rap,Pop music,Pop music
5,Mark Ronson,post-teen pop,Pop music,Pop music
6,Mark Ronson,soul,Jazz,Pop music
7,Mark Ronson,tropical house,House music,Pop music
8,Ed Sheeran,pop,Pop music,Pop music
9,Wiz Khalifa,pop rap,Pop music,Hip hop
10,Wiz Khalifa,rap,Hip hop,Hip hop
11,Wiz Khalifa,southern hip hop,Hip hop,Hip hop
12,Wiz Khalifa,trap music,Rock music,Hip hop
13,Fetty Wap,pop rap,Pop music,Rock music
14,Fetty Wap,rap,Hip hop,Rock music
15,Fetty Wap,trap music,Rock music,Rock music
16,Maroon 5,dance pop,Pop music,Pop music
17,Maroon 5,pop,Pop music,Pop music
18,Maroon 5,pop christmas,Pop music,Pop music
19,Maroon 5,pop rap,Pop music,Pop music
20,Maroon 5,pop rock,Pop music,Pop music
21,Maroon 5,post-teen pop,Pop music,Pop music
22,Walk The Moon,indie pop,Pop music,Pop music
23,Walk The Moon,pop,Pop music,Pop music
24,Taylor Swift,children's christmas,,Pop music
25,Weeknd,canadian pop,Pop music,Pop music
26,Weeknd,pop,Pop music,Pop music
27,Weeknd,pop rap,Pop music,Pop music
28,Weeknd,rap,Hip hop,Pop music
29,OMI,pop,Pop music,Pop music
30,OMI,tropical house,House music,Pop music
31,Ellie Goulding,dance pop,Pop music,Pop music
32,Ellie Goulding,metropopolis,,Pop music
33,Ellie Goulding,pop,Pop music,Pop music
34,Ellie Goulding,post-teen pop,Pop music,Pop music
35,Hozier,folk-pop,,Blues music
36,Hozier,modern blues,Blues music,Blues music
37,Hozier,pop,Pop music,Blues music
38,Major Lazer and DJ Snake,edm,Blues music,Fusion music
39,Major Lazer and DJ Snake,electro house,House music,Fusion music
40,Major Lazer and DJ Snake,moombahton,Fusion music,Fusion music
41,Major Lazer and DJ Snake,pop,Pop music,Fusion music
42,Jason Derulo,dance pop,Pop music,Pop music
43,Jason Derulo,pop,Pop music,Pop music
44,Jason Derulo,pop rap,Pop music,Pop music
45,Jason Derulo,post-teen pop,Pop music,Pop music
46,Jason Derulo,r&b,,Pop music
47,Taylor Swift,fake,,Pop music
48,Skrillex and Diplo With Justin Bieber,edm,Blues music,Blues music
49,Skrillex and Diplo With Justin Bieber,pop,Pop music,Blues music
50,Skrillex and Diplo With Justin Bieber,tropical house,House music,Blues music
51,Rachel Platten,pop,Pop music,Pop music
52,Rachel Platten,post-teen pop,Pop music,Pop music
53,Meghan Trainor,dance pop,Pop music,Pop music
54,Meghan Trainor,hip pop,Pop music,Pop music
55,Meghan Trainor,pop,Pop music,Pop music
56,Meghan Trainor,post-teen pop,Pop music,Pop music
57,Fifth Harmony,dance pop,Pop music,Pop music
58,Fifth Harmony,pop,Pop music,Pop music
59,Fifth Harmony,post-teen pop,Pop music,Pop music
60,Fifth Harmony,talent show,,Pop music
61,Omarion,dance pop,Pop music,Pop music
62,Omarion,hip pop,Pop music,Pop music
