,ARTIST,ARTIST_Full,Rank,TITLE,YEAR,Year,acousticness,artist_img,artist_pop,artist_uri,danceability,duration_ms,energy,exact_song_match,explicit,genres,instrumentalness,key,liveness,loudness,preview_url,search_dict,song_name,song_pop,song_uri,tempo,valence
25,Sam Smith,Sam Smith,26.0,I’m Not The OnlyOne,2015.0,2015.0,,https://i.scdn.co/image/3ff2ecefac86c81b2fff66b67dd86527941777e0,82.0,,,,,False,,[u'pop'],,,,,,"{'acousticness': None, 'genres': [u'pop'], 'artist_img': u'https://i.scdn.co/image/3ff2ecefac86c81b2fff66b67dd86527941777e0', 'song_uri': None, 'exact_song_match': False, 'explicit': None, 'song_name': None, 'liveness': None, 'tempo': None, 'preview_url': None, 'artist_uri': None, 'song_pop': None, 'artist_pop': 82, 'instrumentalness': None, 'key': None, 'duration_ms': None, 'loudness': None, 'valence': None, 'energy': None, 'danceability': None}",,,,,
416,P!Nk,P!Nk,19.0,F**Kin’ Perfect,2011.0,2011.0,,https://i.scdn.co/image/3f187467d899f769b294d37422acffca915b968e,79.0,,,,,False,,"[u'dance pop', u'hip pop', u'neo mellow', u'pop', u'pop rap', u'pop rock', u'post-teen pop', u'r&b', u'urban contemporary']",,,,,,"{'acousticness': None, 'genres': [u'dance pop', u'hip pop', u'neo mellow', u'pop', u'pop rap', u'pop rock', u'post-teen pop', u'r&b', u'urban contemporary'], 'artist_img': u'https://i.scdn.co/image/3f187467d899f769b294d37422acffca915b968e', 'song_uri': None, 'exact_song_match': False, 'explicit': None, 'song_name': None, 'liveness': None, 'tempo': None, 'preview_url': None, 'artist_uri': None, 'song_pop': None, 'artist_pop': 79, 'instrumentalness': None, 'key': None, 'duration_ms': None, 'loudness': None, 'valence': None, 'energy': None, 'danceability': None}",,,,,
938,T-Pain,T-Pain feat. Mike Jones,41.0,I’n N Luv (Wit a Stripper),2006.0,2006.0,,https://i.scdn.co/image/ff86a8fae2633f504069c6ee24b8d63c216302c2,77.0,,,,,False,,"[u'crunk', u'dance pop', u'dirty south rap', u'gangster rap', u'hip hop', u'hip pop', u'pop', u'pop rap', u'r&b', u'rap', u'southern hip hop', u'trap music', u'urban contemporary']",,,,,,"{'acousticness': None, 'genres': [u'crunk', u'dance pop', u'dirty south rap', u'gangster rap', u'hip hop', u'hip pop', u'pop', u'pop rap', u'r&b', u'rap', u'southern hip hop', u'trap music', u'urban contemporary'], 'artist_img': u'https://i.scdn.co/image/ff86a8fae2633f504069c6ee24b8d63c216302c2', 'song_uri': None, 'exact_song_match': False, 'explicit': None, 'song_name': None, 'liveness': None, 'tempo': None, 'preview_url': None, 'artist_uri': None, 'song_pop': None, 'artist_pop': 77, 'instrumentalness': None, 'key': None, 'duration_ms': None, 'loudness': None, 'valence': None, 'energy': None, 'danceability': None}",,,,,
997,Teddy Geiger,Teddy Geiger,100.0,For You I Will (Condience),2006.0,2006.0,,https://i.scdn.co/image/1f39bad557269a379bdc5c66e79bc316b826cff5,45.0,,,,,False,,"[u'acoustic pop', u'folk christmas', u'neo mellow', u'pop', u'pop christmas', u'pop rock', u'viral pop']",,,,,,"{'acousticness': None, 'genres': [u'acoustic pop', u'folk christmas', u'neo mellow', u'pop', u'pop christmas', u'pop rock', u'viral pop'], 'artist_img': u'https://i.scdn.co/image/1f39bad557269a379bdc5c66e79bc316b826cff5', 'song_uri': None, 'exact_song_match': False, 'explicit': None, 'song_name': None, 'liveness': None, 'tempo': None, 'preview_url': None, 'artist_uri': None, 'song_pop': None, 'artist_pop': 45, 'instrumentalness': None, 'key': None, 'duration_ms': None, 'loudness': None, 'valence': None, 'energy': None, 'danceability': None}",,,,,
1154,Jagged Edge,Jagged Edge,57.0,Walker outta Heaven,2004.0,2004.0,,https://i.scdn.co/image/17be36a3aeac605882a20df18b5ec574b973e2ce,62.0,,,,,False,,"[u'dance pop', u'hip pop', u'neo soul', u'new jack swing', u'pop christmas', u'r&b', u'soul christmas', u'urban contemporary']",,,,,,"{'acousticness': None, 'genres': [u'dance pop', u'hip pop', u'neo soul', u'new jack swing', u'pop christmas', u'r&b', u'soul christmas', u'urban contemporary'], 'artist_img': u'https://i.scdn.co/image/17be36a3aeac605882a20df18b5ec574b973e2ce', 'song_uri': None, 'exact_song_match': False, 'explicit': None, 'song_name': None, 'liveness': None, 'tempo': None, 'preview_url': None, 'artist_uri': None, 'song_pop': None, 'artist_pop': 62, 'instrumentalness': None, 'key': None, 'duration_ms': None, 'loudness': None, 'valence': None, 'energy': None, 'danceability': None}",,,,,
1450,Lil’ Mo,Lil’ Mo feat. Fabolous,53.0,Superwoman Pt. II,2001.0,2001.0,,https://i.scdn.co/image/982332f470cb8f27207f1f6c0de2710128276f8c,53.0,,,,,False,,"[u'hip pop', u'neo soul', u'new jack swing', u'r&b', u'urban contemporary']",,,,,,"{'acousticness': None, 'genres': [u'hip pop', u'neo soul', u'new jack swing', u'r&b', u'urban contemporary'], 'artist_img': u'https://i.scdn.co/image/982332f470cb8f27207f1f6c0de2710128276f8c', 'song_uri': None, 'exact_song_match': False, 'explicit': None, 'song_name': None, 'liveness': None, 'tempo': None, 'preview_url': None, 'artist_uri': None, 'song_pop': None, 'artist_pop': 53, 'instrumentalness': None, 'key': None, 'duration_ms': None, 'loudness': None, 'valence': None, 'energy': None, 'danceability': None}",,,,,
1784,Jewel,Jewel,87.0,Foolish Games / You Were Meant For Me,1998.0,1998.0,,https://i.scdn.co/image/53c2172d035a546358d36b8cfac348a9e3fe9640,57.0,,,,,False,,"[u'dance pop', u'folk christmas', u'folk-pop', u'hollywood', u'lilith', u'neo mellow', u'new wave pop', u'permanent wave', u'pop', u'pop christmas', u'pop rock', u'singer-songwriter']",,,,,,"{'acousticness': None, 'genres': [u'dance pop', u'folk christmas', u'folk-pop', u'hollywood', u'lilith', u'neo mellow', u'new wave pop', u'permanent wave', u'pop', u'pop christmas', u'pop rock', u'singer-songwriter'], 'artist_img': u'https://i.scdn.co/image/53c2172d035a546358d36b8cfac348a9e3fe9640', 'song_uri': None, 'exact_song_match': False, 'explicit': None, 'song_name': None, 'liveness': None, 'tempo': None, 'preview_url': None, 'artist_uri': None, 'song_pop': None, 'artist_pop': 57, 'instrumentalness': None, 'key': None, 'duration_ms': None, 'loudness': None, 'valence': None, 'energy': None, 'danceability': None}",,,,,
1799,Jewel,Jewel,2.0,Foolish Games / You Were Meant For Me,1997.0,1997.0,,https://i.scdn.co/image/53c2172d035a546358d36b8cfac348a9e3fe9640,57.0,,,,,False,,"[u'dance pop', u'folk christmas', u'folk-pop', u'hollywood', u'lilith', u'neo mellow', u'new wave pop', u'permanent wave', u'pop', u'pop christmas', u'pop rock', u'singer-songwriter']",,,,,,"{'acousticness': None, 'genres': [u'dance pop', u'folk christmas', u'folk-pop', u'hollywood', u'lilith', u'neo mellow', u'new wave pop', u'permanent wave', u'pop', u'pop christmas', u'pop rock', u'singer-songwriter'], 'artist_img': u'https://i.scdn.co/image/53c2172d035a546358d36b8cfac348a9e3fe9640', 'song_uri': None, 'exact_song_match': False, 'explicit': None, 'song_name': None, 'liveness': None, 'tempo': None, 'preview_url': None, 'artist_uri': None, 'song_pop': None, 'artist_pop': 57, 'instrumentalness': None, 'key': None, 'duration_ms': None, 'loudness': None, 'valence': None, 'energy': None, 'danceability': None}",,,,,
1856,Toni Braxton,Toni Braxton,59.0,I Don’t Want To / I Love Me Some Him,1997.0,1997.0,,https://i.scdn.co/image/840ac476bcb43af4bb5415921e2df6cc6c3a7b42,63.0,,,,,False,,"[u'dance pop', u'hip pop', u'neo soul', u'new jack swing', u'pop', u'quiet storm', u'r&b', u'soul', u'soul christmas', u'urban contemporary']",,,,,,"{'acousticness': None, 'genres': [u'dance pop', u'hip pop', u'neo soul', u'new jack swing', u'pop', u'quiet storm', u'r&b', u'soul', u'soul christmas', u'urban contemporary'], 'artist_img': u'https://i.scdn.co/image/840ac476bcb43af4bb5415921e2df6cc6c3a7b42', 'song_uri': None, 'exact_song_match': False, 'explicit': None, 'song_name': None, 'liveness': None, 'tempo': None, 'preview_url': None, 'artist_uri': None, 'song_pop': None, 'artist_pop': 63, 'instrumentalness': None, 'key': None, 'duration_ms': None, 'loudness': None, 'valence': None, 'energy': None, 'danceability': None}",,,,,
1869,Various Artists,Various Artists,72.0,ESPN Presents The Jock Jam,1997.0,1997.0,,https://i.scdn.co/image/ec0c7b38b7d7ad80dc24d0ed495d6c003a8ae62e,32.0,,,,,False,,[],,,,,,"{'acousticness': None, 'genres': [], 'artist_img': u'https://i.scdn.co/image/ec0c7b38b7d7ad80dc24d0ed495d6c003a8ae62e', 'song_uri': None, 'exact_song_match': False, 'explicit': None, 'song_name': None, 'liveness': None, 'tempo': None, 'preview_url': None, 'artist_uri': None, 'song_pop': None, 'artist_pop': 32, 'instrumentalness': None, 'key': None, 'duration_ms': None, 'loudness': None, 'valence': None, 'energy': None, 'danceability': None}",,,,,
