THEME,TITLE,ARTIST,YEAR,SPOTIFY_URL
Politics and protest,Me and Giuliani Down By the Schoolyard (A True Story),!!!,2003,
Life and death,(Don't Fear) The Reaper,Blue Oyster Cult,1976,http://open.spotify.com/track/2NL4BBBSgypHnxUKmQdYcT
Party songs,Pacific State,808 State,1989,
Love,Kehma Hi Kya,A R Rahman,1995,
Sex,Try Again,Aaliyah,2000,http://open.spotify.com/track/2CM7CAL7aJ5WkPU0oGbA96
Heartbreak,The Winner Takes It All,Abba,1980,http://open.spotify.com/track/1g1RLXmuXu7HpMA6gmiYve
Sex,Gimme! Gimme! Gimme! (A Man After Midnight),Abba,1979,http://open.spotify.com/track/2TjNlK2tNBxF8C8RIaK9Gb
Party songs,Dancing Queen,Abba,1976,http://open.spotify.com/track/2rgqPSIRAfaO2MGo9smdSX
Love,The Look of Love,ABC,1982,http://open.spotify.com/track/78j3qTBdzcIiT3eS7XymoD
Heartbreak,Tears Are Not Enough,ABC,1981,http://open.spotify.com/track/1DsmvwImEiDU0tLMOvOJZD
Life and death,Satta Massagana,Abyssinians,1971,http://open.spotify.com/track/27adNyPtau6RYDGsUbXEo4
Sex,You Shook Me All Night Long,AC/DC,1980,
Party songs,Back in Black,AC/DC,1980,
Sex,Love in an Elevator,Aerosmith,1989,http://open.spotify.com/track/1SDr4rc6YRpaLDkJURW3sY
Life and death,Dream On,Aerosmith,1973,http://open.spotify.com/track/2WZbjDTXP78H9xq58cnSWF
Party songs,Because I Got High,Afroman,2001,http://open.spotify.com/track/5ztUVSEAJKW6lw4X03ae48
Love,Letâ€™s Get Married,Al Green,1974,
Love,Love and Happiness,Al Green,1972,
Heartbreak,How Can You Mend a Broken Heart ,Al Green,1972,
Love,Letâ€™s Stay Together,Al Green,1971,http://open.spotify.com/track/1r5ix6rRcET3TUdnDSZ9Oo
Life and death,Tired of Being Alone,Al Green,1971,
Life and death,Schoolâ€™s Out,Alice Cooper,1972,http://open.spotify.com/track/1ad6vKBg5pzyM9oCQ0M9Fg
Love,No One,Alicia Keys,2007,http://open.spotify.com/track/1exNQxJp0tHfKe85qUpRJF
Heartbreak,You Donâ€™t Know My Name,Alicia Keys,2003,http://open.spotify.com/track/212BdBPNXcHSPyKtXMiiFF
People and places,Lake Shore Drive,Aliotta Haynes Jeremiah,1971,
Heartbreak,Never Ever,All Saints,1997,http://open.spotify.com/track/7ziHnshbknkpFLDW5yGBjO
Party songs,Uptown Top Ranking,Althea and Donna,1977,http://open.spotify.com/track/34zWZOSpU2V1ab0PiZCcv4
Heartbreak,You Know Iâ€™m No Good,Amy Winehouse,2006,http://open.spotify.com/track/0u8ekDfiPVBsju2LBLvDvI
Heartbreak,Stronger Than Me,Amy Winehouse,2003,http://open.spotify.com/track/5Q8nk53ZSOoCCoMHcyUj8X
Love,Music to Watch Girls By,Andy Williams,1967,http://open.spotify.com/track/5khJtAAIdaXwr3ZsQvvVv4
Heartbreak,It Was Jealousy,Ann Peebles,1976,
People and places,Blackwater Side,Anne Briggs,1971,
Life and death,Gun Shot,Anthony Johnson,1982,http://open.spotify.com/track/2H6mTlLxYjy4rMh2Rblvs5
Politics and protest,Another World,Antony and the Johnsons,2008,http://open.spotify.com/track/4ys9lQG6FGs7ikCGtRCSDt
Party songs,Windowlicker,Aphex Twin,1999,
Politics and protest,Windowsill,Arcade Fire,"2,007.00",http://open.spotify.com/track/4qkqZdYBTa5B5f6ppIXu37
Party songs,Tighten Up,Archie Bell and the Drells,1968,http://open.spotify.com/track/0qKCm8yeHoRJTpryDDQ9TT
People and places,Hernandoâ€™s Hideaway,Archie Bleyer,1954,http://open.spotify.com/track/5l14z1uDc6xwMohyYuhOfM
Life and death,Fluorescent Adolescent,Arctic Monkeys,2007,http://open.spotify.com/track/1ng9LjmY5V6Wzk9HJqB9FI
